state,reason,event,service
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
3,UNKNOWN,service_unknown,Broker-Stats
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
3,UNKNOWN,service_unknown,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
2,"engine'@'localhost'
",service_warning,Connection-Time
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,UNKNOWN,service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
3,"engine'@'localhost'
",service_unknown,Connections-Number
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
3,UNKNOWN,service_unknown,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
0,OK,service_ok,Cpu
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,UNKNOWN,service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
3,"engine'@'localhost'
",service_unknown,Database-Size
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
3,UNKNOWN,service_unknown,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
2,CRITICAL,service_warning,Disk-/
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/cache/centreon/backup
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/centreon-broker
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/lib/mysql
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
3,UNKNOWN,service_unknown,Disk-/var/log
0,OK,service_ok,eth0
0,OK,service_ok,Load
0,OK,service_ok,Load
3,UNKNOWN,service_unknown,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,OK,service_ok,Load
0,"buffers/cache): 1.65 GB (17.71%) Free: 7.68 GB (82.29%), Buffer: 4.11 MB, Cached: 866.08 MB, Shared: 32.03 MB
",service_ok,Memory
0,"buffers/cache): 5.48 GB (58.64%) Free: 3.86 GB (41.36%), Buffer: 4.11 MB, Cached: 2.39 GB, Shared: 32.05 MB
",service_ok,Memory
0,"buffers/cache): 1.66 GB (17.74%) Free: 7.68 GB (82.26%), Buffer: 4.11 MB, Cached: 868.79 MB, Shared: 32.03 MB
",service_ok,Memory
3,UNKNOWN,service_unknown,Memory
0,"buffers/cache): 4.67 GB (49.98%) Free: 4.67 GB (50.02%), Buffer: 4.11 MB, Cached: 2.39 GB, Shared: 32.02 MB
",service_ok,Memory
0,"buffers/cache): 3.32 GB (35.60%) Free: 6.01 GB (64.40%), Buffer: 4.11 MB, Cached: 1.35 GB, Shared: 32.02 MB
",service_ok,Memory
0,"buffers/cache): 1.68 GB (17.97%) Free: 7.66 GB (82.03%), Buffer: 4.11 MB, Cached: 871.74 MB, Shared: 32.02 MB
",service_ok,Memory
0,"buffers/cache): 1.68 GB (17.96%) Free: 7.66 GB (82.04%), Buffer: 4.11 MB, Cached: 871.55 MB, Shared: 32.02 MB
",service_ok,Memory
0,"buffers/cache): 1.64 GB (17.59%) Free: 7.70 GB (82.41%), Buffer: 4.11 MB, Cached: 870.92 MB, Shared: 32.03 MB
",service_ok,Memory
0,"buffers/cache): 1.67 GB (17.94%) Free: 7.66 GB (82.06%), Buffer: 4.11 MB, Cached: 870.16 MB, Shared: 32.04 MB
",service_ok,Memory
0,"buffers/cache): 1.67 GB (17.90%) Free: 7.67 GB (82.10%), Buffer: 4.11 MB, Cached: 869.42 MB, Shared: 32.03 MB
",service_ok,Memory
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,UNKNOWN,service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Myisam-Keycache
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,UNKNOWN,service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Open-Files
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,UNKNOWN,service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
3,"engine'@'localhost'
",service_unknown,Partitioning
0," localhost rta 0.031ms lost 0%
",service_ok,Ping
0," localhost rta 0.062ms lost 0%
",service_ok,Ping
0," localhost rta 0.032ms lost 0%
",service_ok,Ping
3,check_icmp,service_unknown,Ping
0," localhost rta 0.035ms lost 0%
",service_ok,Ping
0," localhost rta 0.037ms lost 0%
",service_ok,Ping
0," localhost rta 0.060ms lost 0%
",service_ok,Ping
0," localhost rta 0.043ms lost 0%
",service_ok,Ping
0," localhost rta 0.040ms lost 0%
",service_ok,Ping
0," localhost rta 0.041ms lost 0%
",service_ok,Ping
0," localhost rta 0.073ms lost 0%
",service_ok,Ping
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
3,UNKNOWN,service_unknown,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 28.05 MB ,service_ok,proc-broker-rrd
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
3,UNKNOWN,service_unknown,proc-broker-sql
0, Total memory usage: 31.15 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 30.99 MB ,service_ok,proc-broker-sql
0, Total memory usage: 31.15 MB ,service_ok,proc-broker-sql
0, Total memory usage: 31.20 MB ,service_ok,proc-broker-sql
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
3,UNKNOWN,service_unknown,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-broker-watchdog
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
3,UNKNOWN,service_unknown,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centengine
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
3,UNKNOWN,service_unknown,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-centreontrapd
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
3,UNKNOWN,service_unknown,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-crond
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
3,UNKNOWN,service_unknown,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-gorgone
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
3,UNKNOWN,service_unknown,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
0,OK,service_ok,proc-httpd
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
3,UNKNOWN,service_unknown,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
2,CRITICAL,service_warning,proc-postfix
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
3,UNKNOWN,service_unknown,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-rsyslogd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
3,UNKNOWN,service_unknown,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmpd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
3,UNKNOWN,service_unknown,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-snmptrapd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
3,UNKNOWN,service_unknown,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
0,OK,service_ok,proc-sshd
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,UNKNOWN,service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Queries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,UNKNOWN,service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
3,"engine'@'localhost'
",service_unknown,Slowqueries
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
3,UNKNOWN,service_unknown,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
0,OK,service_ok,Swap
